项目名称,区域,建筑面积（㎡）,房屋用途,户型,意向售价(万元),参考价(元/平方米),房源编码,代理中介名称,委托期限,发布时间
云玺锦庭,宝安,100.06,住宅,二房,1060,--,255657560717乐有家,深圳市乐有家房产交易有限公司,2025-08-13 04:08:51~2026-08-14 04:08:51,2025-08-13
骏景华庭D栋,宝安,68,住宅,二房,320,54300,255801831428乐有家控股,深圳市乐有家控股集团有限公司,2025-06-20 03:06:24~2026-06-21 03:06:24,2025-06-20
城市阳光花园,宝安,67.37,住宅,二房,265,42000,254156083914链家,深圳链家房地产经纪有限公司,2025-07-25 02:07:22~2025-09-24 02:09:22,2025-05-29
万科星宸大厦2栋,宝安,56.1,商务公寓,二房,155,--,255197208330华恒鑫地产,深圳市华恒鑫网络科技有限公司,2025-07-14 04:07:00~2025-09-13 04:09:00,2025-05-30
鸿隆广场1栋,宝安,48.2,住宅,二房,240,68000,251302599317链家,深圳链家房地产经纪有限公司,2025-07-14 06:07:44~2025-09-13 06:09:44,2025-05-28
新安湖商业城新宝苑B栋,宝安,74.55,住宅,二房,450,71500,258417761184乐有家,深圳市乐有家房产交易有限公司,2025-08-18 12:08:19~2026-08-19 12:08:19,2025-07-04
琼珠花园B栋,宝安,83.79,住宅,二房,355,43500,259042362956乐有家控股,深圳市乐有家控股集团有限公司,2025-07-31 12:07:01~2025-09-30 12:09:01,2025-05-30
宇峰苑B栋,宝安,78.65,住宅,二房,260,40500,252609361203乐有家,深圳市乐有家房产交易有限公司,2025-08-16 04:08:59~2026-08-17 04:08:59,2025-08-16
联投东方世家花园2栋,宝安,78.57,住宅,二房,320,--,254493111051致诚行,深圳市致诚行房地产经纪有限公司,2025-08-18 04:08:11~2026-08-19 04:08:11,2025-08-18
世纪春城四期1#楼,宝安,65.25,住宅,二房,365,57000,250447522248链家,深圳链家房地产经纪有限公司,2025-08-15 10:08:07~2026-08-16 10:08:07,2025-08-15
玖悦雅轩,宝安,82.11,住宅,二房,550,84200,251470059570乐有家,深圳市乐有家房产交易有限公司,2025-08-17 03:08:40~2026-08-18 03:08:40,2025-08-17
润恒尚园6栋,宝安,81.45,住宅,二房,538,64700,257481717724中原地产,中原地产代理（深圳）有限公司,2025-08-15 06:08:49~2026-08-16 06:08:49,2025-08-10
碧海富通城5栋,宝安,51.3,住宅,二房,316,70200,250444961332房房网,深圳市房房网网络科技有限公司,2025-08-18 03:08:15~2026-08-19 03:08:15,2025-08-18
御筑轩B栋,宝安,47.62,住宅,二房,268,50900,259067751651乐有家,深圳市乐有家房产交易有限公司,2025-08-16 03:08:05~2026-08-17 03:08:05,2025-08-16
万象新天商务楼,宝安,50.45,公寓,二房,218,--,258440294740链家,深圳链家房地产经纪有限公司,2025-08-12 09:08:25~2026-08-13 09:08:25,2025-08-12
财富港大厦,宝安,62.48,住宅,二房,318,66800,252465218214锦亿置业,深圳市锦亿置业有限公司,2025-08-10 09:08:16~2026-08-11 09:08:16,2025-08-10
中粮紫云花园商住楼1栋,宝安,71.53,住宅,二房,650,106500,256218430428乐有家,深圳市乐有家房产交易有限公司,2025-08-11 04:08:39~2026-08-12 04:08:39,2025-08-11
湾美花园9#楼,宝安,54.16,住宅,二房,410,85000,255354593770深圳市佰佰通房地产服务有限公司,深圳市佰佰通房地产服务有限公司,2025-07-31 12:07:41~2025-09-30 12:09:41,2025-05-31
香缇雅苑1＃楼,宝安,58.83,住宅,二房,320,54300,255230728186盛联行,深圳市盛联行网络科技有限公司,2025-05-22 06:05:55~2025-08-21 06:08:55,2025-06-19
雅仕阁一栋,宝安,57.89,住宅,二房,290,56500,254195990490弘雅地产,深圳弘雅房地产经纪有限责任公司,2025-08-17 08:08:42~2025-10-17 08:10:42,2025-06-17
花样年花郡家园,宝安,56.45,住宅,二房,445,88400,252842487821创鸿房地产,深圳市创鸿房地产经纪有限公司,2025-07-04 08:07:50~2026-06-30 08:06:50,2025-06-20
星航华府一期,宝安,78.52,住宅,二房,360,52400,250087920217乐有家,深圳市乐有家房产交易有限公司,2025-08-17 10:08:20~2025-10-17 10:10:20,2025-06-19
莱蒙春天花园（A818-0445）1-5栋,宝安,78.36,住宅,二房,700,90500,252995415570乐有家,深圳市乐有家房产交易有限公司,2025-08-15 02:08:28~2026-08-16 02:08:28,2025-08-15
富通*丽沙花都E栋,宝安,76.33,住宅,二房,288,46000,255581431778乐有家,深圳市乐有家房产交易有限公司,2025-08-11 12:08:52~2026-08-12 12:08:52,2025-08-11
汇裕名都花园（一期）2栋,宝安,70.64,商务公寓,二房,188,--,258774713915深圳市德佳实业管理有限公司,深圳市德佳实业管理有限公司,2025-08-14 08:08:03~2026-08-15 08:08:03,2025-08-12
西乡安居家园3栋,宝安,76.04,住宅,二房,320,--,251253231347米家地产,深圳市米家乐网络科技有限公司,2025-08-14 07:08:55~2026-08-15 07:08:55,2025-08-14
城市阳光花园,宝安,67.01,住宅,二房,210,42000,258593313663乐有家,深圳市乐有家房产交易有限公司,2025-08-12 03:08:24~2026-08-13 03:08:24,2025-08-12
潜龙曼海宁花园（北区）1栋,宝安,70.3,住宅,二房,380,73000,254186240917链家,深圳链家房地产经纪有限公司,2025-08-10 03:08:22~2026-08-11 03:08:22,2025-08-10
丰泽湖山庄13栋,宝安,75.56,住宅,二房,410,56800,258019929152乐有家,深圳市乐有家房产交易有限公司,2025-08-12 04:08:29~2026-08-13 04:08:29,2025-08-12
世外桃源综合楼1栋,宝安,92.62,公寓,二房,260,48000,259877583828乐有家,深圳市乐有家房产交易有限公司,2025-08-12 02:08:37~2026-08-13 02:08:37,2025-08-12
魅力时代花园3栋,宝安,73.31,住宅,二房,500,74800,259270045171胜景地产,深圳市胜景房地产咨询有限公司,2025-08-10 04:08:01~2026-08-11 04:08:01,2025-08-10
金港华庭1栋,宝安,63.66,住宅,二房,360,63300,256826868994中原地产,中原地产代理（深圳）有限公司,2025-08-13 07:08:02~2026-08-14 07:08:02,2025-08-13
桃源居11＃商住楼,宝安,56.49,住宅,二房,270,48000,252682155910中原地产,中原地产代理（深圳）有限公司,2025-08-13 08:08:06~2026-08-14 08:08:06,2025-08-13
招商观园9栋,宝安,88.28,住宅,二房,270,47000,252944958963乐有家,深圳市乐有家房产交易有限公司,2025-08-10 03:08:58~2026-08-11 03:08:58,2025-08-10
大益广场1栋,宝安,62.36,住宅,二房,400,51600,258673171993常盛地产,深圳市常盛房地产经纪有限公司,2025-08-09 11:08:18~2026-08-10 11:08:18,2025-08-09
城市阳光花园,宝安,50.5,住宅,二房,190,42000,259051377893乐有家,深圳市乐有家房产交易有限公司,2025-08-15 04:08:03~2026-08-16 04:08:03,2025-08-15
万科都会四季花园13栋,宝安,74.42,住宅,二房,560,--,258669619626益峰年,深圳市益峰年置业有限公司,2025-08-14 03:08:51~2026-08-15 03:08:51,2025-08-14
鸿隆广场1栋,宝安,48.37,住宅,二房,240,68000,252439918652乐有家,深圳市乐有家房产交易有限公司,2025-08-10 03:08:06~2026-08-11 03:08:06,2025-08-10
城市明珠花园13栋,宝安,63.39,住宅,二房,280,48200,254088030511乐有家,深圳市乐有家房产交易有限公司,2025-08-12 02:08:59~2026-08-13 02:08:59,2025-08-12
白金酒店公寓1栋,宝安,34.84,住宅,二房,260,78200,251118064264深房联地产,深圳市深房联地产投资顾问有限公司,2025-08-09 04:08:11~2026-08-10 04:08:11,2025-08-09
招商果岭花园7栋,宝安,76.03,住宅,二房,450,64700,252981425000中原地产,中原地产代理（深圳）有限公司,2025-08-08 07:08:11~2026-08-09 07:08:11,2025-08-08
汇裕名都花园（二期）1栋,宝安,77.52,商务公寓,二房,252,--,258571864820鑫泰地产,深圳市鑫泰房地产经纪有限公司,2025-08-10 11:08:57~2026-08-11 11:08:57,2025-08-10
宝利豪庭1栋,宝安,82.93,住宅,二房,260,38400,253536862284致诚行,深圳市致诚行房地产经纪有限公司,2025-06-24 04:06:55~2026-06-25 04:06:55,2025-06-24
风和日丽花园A栋,宝安,70.76,住宅,二房,320,45200,252379313649乐有家,深圳市乐有家房产交易有限公司,2025-06-24 04:06:46~2025-08-24 04:08:46,2025-06-18
汇裕名都花园（三期）7栋,宝安,68.8,商务公寓,二房,200,--,254284959401乐有家,深圳市乐有家房产交易有限公司,2025-07-05 03:07:53~2026-07-06 03:07:53,2025-06-23
大信花园3栋,宝安,72.05,住宅,二房,300,45800,250971993435乐有家,深圳市乐有家房产交易有限公司,2025-08-16 08:08:59~2025-10-16 08:10:59,2025-06-16
锦绣御园（二期）8栋B座,宝安,68.56,住宅,二房,360,52500,256252958019乐有家,深圳市乐有家房产交易有限公司,2025-07-28 06:07:20~2025-09-27 06:09:20,2025-05-29
锦绣御园（二期）8栋B座,宝安,63.36,住宅,二房,360,52500,258907529788乐有家,深圳市乐有家房产交易有限公司,2025-07-28 08:07:28~2025-09-27 08:09:28,2025-05-29
碧水龙庭2栋,宝安,75.25,住宅,二房,430,57200,255456228049乐有家,深圳市乐有家房产交易有限公司,2025-06-23 06:06:04~2026-06-24 06:06:04,2025-06-23
招商观园6栋,宝安,74.74,住宅,二房,320,47000,253060408918乐有家,深圳市乐有家房产交易有限公司,2025-06-23 03:06:44~2026-06-24 03:06:44,2025-06-23
潜龙曼海宁花园（北区）3栋,宝安,70.97,住宅,二房,418,73000,251782588071链家,深圳链家房地产经纪有限公司,2025-08-15 02:08:45~2026-08-16 02:08:45,2025-08-15
满京华云著花园（二期）1号楼,宝安,74.53,住宅,二房,255,45800,258650523975金辉地产,深圳市金辉地产经纪有限公司,2025-08-09 04:08:04~2026-08-10 04:08:04,2025-08-09
城市阳光花园,宝安,67.37,住宅,二房,200,42000,259598033287乐有家,深圳市乐有家房产交易有限公司,2025-08-13 04:08:55~2026-08-14 04:08:55,2025-08-13
金港华庭1栋,宝安,63.02,住宅,二房,315,63300,253601393682乐有家,深圳市乐有家房产交易有限公司,2025-08-13 04:08:35~2026-08-14 04:08:35,2025-08-10
桃源居13区8栋,宝安,86.19,住宅,二房,400,49000,257571997293深圳前海风华正茂科技有限公司,深圳前海风华正茂科技有限公司,2025-08-11 09:08:42~2026-08-12 09:08:42,2025-08-11
中海西岸华府11栋,宝安,77.75,住宅,二房,250,43600,255036481622深圳锦弘房地产经纪有限公司,深圳锦弘房地产经纪有限公司,2025-08-09 07:08:45~2026-08-10 07:08:45,2025-08-09
铂寓轩2号楼,宝安,77.31,商务公寓,二房,280,--,251627298205链家,深圳链家房地产经纪有限公司,2025-08-12 09:08:43~2026-08-13 09:08:43,2025-08-12
京基智农山海公馆,宝安,67.71,住宅,二房,450,--,259484770481知恩地产,深圳知恩房地产经纪有限公司,2025-08-17 09:08:21~2025-10-17 09:10:21,2025-08-17
万丰海岸城锦园8栋,宝安,73.23,住宅,二房,368,--,259495785705聚创云房,深圳聚创云房网络科技有限公司,2025-08-13 05:08:09~2026-08-14 05:08:09,2025-08-13
碧海名园A栋,宝安,59.85,住宅,二房,350,61800,251540788964乐有家,深圳市乐有家房产交易有限公司,2025-08-13 06:08:57~2026-08-14 06:08:57,2025-08-13
金成名苑一栋,宝安,78.82,住宅,二房,435,55200,259578170950链家,深圳链家房地产经纪有限公司,2025-08-13 08:08:55~2026-08-14 08:08:55,2025-08-13
清平华府1栋,宝安,69.85,住宅,二房,320,--,252189742033深圳市安享家房地产有限公司,深圳市安享家房地产有限公司,2025-08-15 08:08:26~2026-08-16 08:08:26,2025-08-15
中海西岸华府12栋,宝安,85.1,住宅,二房,248,43600,251503760820乐有家,深圳市乐有家房产交易有限公司,2025-08-08 08:08:56~2026-08-09 08:08:56,2025-08-08
双龙花园龙云楼,宝安,63.4,商业金融业,二房,200,44800,254830887463常盛地产,深圳市常盛房地产经纪有限公司,2025-08-13 06:08:19~2026-08-14 06:08:19,2025-08-13
白金假日公寓1栋,宝安,39.71,住宅,二房,295,82400,255766804360链家,深圳链家房地产经纪有限公司,2025-08-10 07:08:15~2026-08-11 07:08:15,2025-08-10
高发西岸花园1栋,宝安,77.79,住宅,二房,738,88400,254240938570齐鲁置业,深圳市齐鲁置业有限公司,2025-08-10 11:08:46~2026-08-11 11:08:46,2025-08-10
碧海富通城5栋,宝安,53.2,住宅,二房,340,70200,256210464642中原地产,中原地产代理（深圳）有限公司,2025-08-14 04:08:40~2025-10-14 04:10:40,2025-08-14
碧海君庭4栋,宝安,88.5,住宅,二房,705,83500,259775313329链家,深圳链家房地产经纪有限公司,2025-08-09 05:08:00~2026-08-10 05:08:00,2025-08-09
碧海富通城9栋,宝安,78.74,住宅,二房,420,70200,253563872681深圳市连横房地产经纪有限公司,深圳市连横房地产经纪有限公司,2025-08-09 01:08:08~2026-08-10 01:08:08,2025-08-09
泰华*俊庭(1栋),宝安,61.95,住宅,二房,315,71000,257722694168众馨旺地产,深圳市众馨旺网络科技有限公司,2025-08-10 07:08:25~2026-08-11 07:08:25,2025-08-10
金侨花园13栋,宝安,61.2,住宅,二房,220,40400,251029101032乐有家,深圳市乐有家房产交易有限公司,2025-08-15 04:08:22~2026-08-16 04:08:22,2025-08-15
十八区锦竹苑十一栋,宝安,90.4,住宅,二房,480,65800,251129237079弘雅地产,深圳弘雅房地产经纪有限责任公司,2025-08-12 04:08:23~2026-08-13 04:08:23,2025-08-12
海信花园C栋,宝安,55,住宅,二房,400,72200,259503023751乐有家,深圳市乐有家房产交易有限公司,2025-08-14 02:08:26~2026-08-15 02:08:26,2025-08-14
华苑商住楼,宝安,68.13,住宅,二房,270,59200,251308595764鑫业诚地产,深圳市鑫业诚房地产有限公司,2025-08-14 04:08:15~2026-08-15 04:08:15,2025-08-14
金地梅陇镇花园12栋,宝安,79.54,住宅,二房,390,58200,256991721419乐有家,深圳市乐有家房产交易有限公司,2025-08-15 10:08:57~2026-08-16 10:08:57,2025-08-15
员工宿舍G栋,宝安,31.55,宿舍,二房,260,85000,255915500979乐有家,深圳市乐有家房产交易有限公司,2025-08-09 10:08:02~2026-08-10 10:08:02,2025-08-09
骏景华庭D栋,宝安,72.7,住宅,二房,338,54300,254821153997链家,深圳链家房地产经纪有限公司,2025-08-12 10:08:37~2026-08-13 10:08:37,2025-08-12
桃源居12区13栋,宝安,81.97,住宅,二房,270,48000,256886290693链家,深圳链家房地产经纪有限公司,2025-08-13 08:08:39~2026-02-10 08:02:39,2025-08-13
桃源居14区1栋,宝安,84.12,住宅,二房,360,50000,250812264961中原地产,中原地产代理（深圳）有限公司,2025-08-10 11:08:29~2025-10-10 11:10:29,2025-08-10
水榭春天花园（三期）8-12#楼,宝安,66.35,住宅,二房,520,73000,259621397531链家,深圳链家房地产经纪有限公司,2025-08-09 02:08:20~2026-08-10 02:08:20,2025-08-09
二区住宅楼三十一栋,宝安,72.8,住宅,二房,365,69500,258232290439乐有家,深圳市乐有家房产交易有限公司,2025-08-14 06:08:58~2026-08-15 06:08:58,2025-08-14
观澜豪园*假日*赛维纳D栋,宝安,51.6,住宅,二房,155,30500,257610962443乐有家,深圳市乐有家房产交易有限公司,2025-08-09 07:08:03~2026-08-10 07:08:03,2025-08-09
花乡家园,宝安,58.74,住宅,二房,460,88400,259766170274链家,深圳链家房地产经纪有限公司,2025-08-12 04:08:40~2026-08-13 04:08:40,2025-08-12
永福苑,宝安,64.7,住宅,二房,220,--,256698655367信跃地产,深圳市信跃房地产经纪有限公司,2025-08-15 02:08:49~2026-08-16 02:08:49,2025-08-15
富通苑A栋,宝安,78.16,住宅,二房,360,56900,254524023999宇尚居,深圳市宇尚居科技有限公司,2025-08-15 09:08:55~2026-08-16 09:08:55,2025-08-15
中海西岸华府11栋,宝安,77.75,住宅,二房,398,43600,253481824558宝华地产,深圳市宝华地产投资顾问有限公司,2025-08-14 08:08:30~2026-08-15 08:08:30,2025-08-14
骏景华庭D栋,宝安,67.71,住宅,二房,300,54300,252727284537圳华,深圳市圳华房地产有限公司,2025-08-15 01:08:19~2026-08-11 01:08:19,2025-08-15
潜龙花园十二栋,宝安,66.42,住宅,二房,300,51200,255986576638乐有家,深圳市乐有家房产交易有限公司,2025-08-14 04:08:35~2026-08-15 04:08:35,2025-08-14
畔山御景花园8栋,宝安,50.09,住宅,二房,140,42500,253871771044金辉地产,深圳市金辉地产经纪有限公司,2025-08-13 11:08:56~2026-08-14 11:08:56,2025-08-13
宝雅花园C栋,宝安,81.1,住宅,二房,490,72500,250137742096乐有家,深圳市乐有家房产交易有限公司,2025-08-15 02:08:59~2026-08-16 02:08:59,2025-08-15
福永花苑B栋,宝安,57.58,住宅,二房,180,42800,250151519221乐有家,深圳市乐有家房产交易有限公司,2025-08-08 02:08:43~2025-10-08 02:10:43,2025-06-08
泰华*俊庭(1栋),宝安,61.9,住宅,二房,350,71000,254669962115乐有家,深圳市乐有家房产交易有限公司,2025-07-15 07:07:10~2025-09-14 07:09:10,2025-05-17
锦绣江南8栋,宝安,73.37,住宅,二房,368,48000,259279124959乐有家控股,深圳市乐有家控股集团有限公司,2025-08-02 10:08:41~2025-10-02 10:10:41,2025-06-02
金汇名园1栋,宝安,78.53,住宅,二房,330,50300,254630834793链家,深圳链家房地产经纪有限公司,2025-08-04 08:08:24~2025-10-04 08:10:24,2025-06-05
桃源居13区8栋,宝安,86.02,住宅,二房,460,49000,254430446592乐有家,深圳市乐有家房产交易有限公司,2025-07-25 04:07:00~2025-09-24 04:09:00,2025-06-12
银泉花园7栋,宝安,48.62,住宅,二房,210,42700,252355742058乐有家,深圳市乐有家房产交易有限公司,2025-08-13 11:08:10~2026-08-14 11:08:10,2025-08-13
金地上塘道花园3栋,宝安,68.75,住宅,二房,385,66600,259728232138乐有家,深圳市乐有家房产交易有限公司,2025-08-17 08:08:08~2026-08-18 08:08:08,2025-08-17
西城雅筑花苑,宝安,67.21,住宅,二房,600,88400,250347231788链家,深圳链家房地产经纪有限公司,2025-08-09 08:08:32~2026-08-10 08:08:32,2025-08-09
兴华花园1栋,宝安,76.42,住宅,二房,238,42100,258913979907乐有家,深圳市乐有家房产交易有限公司,2025-08-17 04:08:42~2026-08-18 04:08:42,2025-08-17
西城上筑花园2栋,宝安,74.22,住宅,二房,550,88400,253188181797深圳云居房地产,深圳云居房地产咨询服务有限公司,2025-08-13 05:08:38~2025-10-13 05:10:38,2025-08-13
幸福港湾尚品居,宝安,65.12,住宅,二房,500,73500,250968806573乐有家,深圳市乐有家房产交易有限公司,2025-08-12 02:08:43~2026-08-13 02:08:43,2025-08-12
金地梅陇镇花园18栋,宝安,73.98,住宅,二房,350,58900,256652448760链家,深圳链家房地产经纪有限公司,2025-08-17 08:08:05~2026-08-18 08:08:05,2025-08-17
弘雅花园三期雅豪轩北区1栋,宝安,77.72,住宅,二房,450,52700,253349739378乐有家,深圳市乐有家房产交易有限公司,2025-08-18 04:08:31~2026-08-19 04:08:31,2025-08-18
雅乐居1栋,宝安,66.2,住宅,二房,300,56400,250693916587鑫业诚地产,深圳市鑫业诚房地产有限公司,2025-08-16 11:08:56~2026-08-17 11:08:56,2025-08-16
中粮万福阁1栋,宝安,43.7,住宅,二房,288,82500,255930561854乐有家,深圳市乐有家房产交易有限公司,2025-08-15 03:08:07~2026-08-16 03:08:07,2025-08-15
苹果园2栋,宝安,42.96,住宅,二房,240,52400,259718039750乐有家,深圳市乐有家房产交易有限公司,2025-08-17 04:08:58~2026-08-18 04:08:58,2025-08-17
湾上六座花园7栋,宝安,55.44,住宅,二房,350,74200,255194611085乐有家,深圳市乐有家房产交易有限公司,2025-08-18 03:08:47~2026-08-19 03:08:47,2025-08-18
珑湾上城花园3栋,宝安,60.63,住宅,二房,203,--,251175650617深圳市安享家房地产有限公司,深圳市安享家房地产有限公司,2025-08-18 12:08:28~2026-08-19 12:08:28,2025-08-17
丰润花园D18栋,宝安,72.9,商品住宅,二房,300,43800,253621201361乐有家控股,深圳市乐有家控股集团有限公司,2025-08-08 07:08:14~2026-08-09 07:08:14,2025-08-08
京基御景珑庭5栋,宝安,75.36,商务公寓,二房,248,--,255478531874博灵,深圳市博灵地产经纪顾问有限公司,2025-08-15 10:08:49~2026-08-16 10:08:49,2025-08-15
福景花园二栋,宝安,68.81,住宅,二房,230,40600,254500818896乐有家,深圳市乐有家房产交易有限公司,2025-08-10 11:08:56~2026-08-11 11:08:56,2025-08-10
金港华庭1栋,宝安,65.19,住宅,二房,330,63300,252111233962乐有家,深圳市乐有家房产交易有限公司,2025-08-14 11:08:49~2026-08-15 11:08:49,2025-08-14
鸿隆广场1栋,宝安,47.6,住宅,二房,230,68000,256167066610链家,深圳链家房地产经纪有限公司,2025-08-06 06:08:06~2025-10-06 06:10:06,2025-06-10
桃源盛景园10栋,宝安,87.32,住宅,二房,420,53000,255678408756中原地产,中原地产代理（深圳）有限公司,2025-08-06 08:08:09~2025-10-06 08:10:09,2025-06-09
金地上塘道花园7栋,宝安,69.6,住宅,二房,420,66600,259157129522乐有家,深圳市乐有家房产交易有限公司,2025-07-31 08:07:30~2025-09-30 08:09:30,2025-06-12
滢水山庄三期16栋,宝安,72.92,住宅,二房,380,43500,255479793429乐有家,深圳市乐有家房产交易有限公司,2025-08-08 04:08:51~2025-10-08 04:10:51,2025-06-08
湾上六座花园6栋,宝安,66.8,住宅,二房,480,74200,256550019640乐有家,深圳市乐有家房产交易有限公司,2025-07-25 10:07:30~2025-09-24 10:09:30,2025-05-28
西城上筑花园2栋,宝安,74.62,住宅,二房,640,88400,253797409648乐有家,深圳市乐有家房产交易有限公司,2025-08-02 06:08:25~2025-10-02 06:10:25,2025-06-06
联投东方世家花园2栋,宝安,79.61,住宅,二房,300,--,257641617092中原地产,中原地产代理（深圳）有限公司,2025-07-13 05:07:53~2025-09-12 05:09:53,2025-06-07
皓月花园5栋,宝安,65.74,住宅,二房,330,53400,252322104638乐有家,深圳市乐有家房产交易有限公司,2025-07-29 12:07:03~2025-09-28 12:09:03,2025-05-29
丽景城11栋,宝安,71.52,住宅,二房,390,62100,251621041396乐有家,深圳市乐有家房产交易有限公司,2025-08-03 04:08:27~2025-10-03 04:10:27,2025-06-09
金港华庭1栋,宝安,63.02,住宅,二房,350,63300,258125959521乐有家,深圳市乐有家房产交易有限公司,2025-07-26 12:07:52~2025-09-25 12:09:52,2025-06-01
弘雅花园(四期)雅兰亭1号楼,宝安,58.05,住宅,二房,377,58000,250351496416链家,深圳链家房地产经纪有限公司,2025-06-07 10:06:29~2025-09-06 10:09:29,2025-06-07
桃源盛景园21栋,宝安,65.98,住宅,二房,340,57000,255818652452链家,深圳链家房地产经纪有限公司,2025-08-05 02:08:36~2025-10-05 02:10:36,2025-06-07
领航城领翔华府B区7号A单元,宝安,74.34,住宅,二房,460,61000,254521962712链家,深圳链家房地产经纪有限公司,2025-06-20 04:06:45~2025-08-20 04:08:45,2025-06-08
凤凰雅居1栋,宝安,47.66,住宅,二房,235,64700,256257165722乐有家,深圳市乐有家房产交易有限公司,2025-08-10 04:08:35~2025-10-10 04:10:35,2025-06-10
富佳苑1栋,宝安,71.56,住宅,二房,320,56800,250710280291中原地产,中原地产代理（深圳）有限公司,2025-07-24 10:07:49~2025-09-23 10:09:49,2025-05-29
潜龙*鑫茂花园A区5栋,宝安,61.22,住宅,二房,328,61300,252209291711乐有家,深圳市乐有家房产交易有限公司,2025-07-11 04:07:27~2025-09-10 04:09:27,2025-06-02
碧海富通城10栋,宝安,82.9,住宅,二房,560,70200,259165492360链家,深圳链家房地产经纪有限公司,2025-06-07 11:06:43~2025-09-06 11:09:43,2025-06-07
兴达华府1栋,宝安,61.96,住宅,二房,350,60000,256991590785链家,深圳链家房地产经纪有限公司,2025-06-27 06:06:34~2025-08-27 06:08:34,2025-06-18
宝湖居1栋,宝安,62.1,住宅,二房,420,65000,250401521402乐有家控股,深圳市乐有家控股集团有限公司,2025-07-28 10:07:39~2025-09-27 10:09:39,2025-05-31
西城雅筑花苑,宝安,64.39,住宅,二房,550,88400,259910487159链家,深圳链家房地产经纪有限公司,2025-07-06 02:07:20~2025-09-05 02:09:20,2025-06-12
世纪春城（6号地块）1栋,宝安,63.42,住宅,二房,320,56000,258399893124乐有家,深圳市乐有家房产交易有限公司,2025-08-12 12:08:47~2025-10-12 12:10:47,2025-06-12
白金假日公寓1栋,宝安,40.19,住宅,二房,286,82400,258494817268景瑞,深圳市景瑞房地产置业顾问有限公司,2025-06-22 10:06:12~2025-08-22 10:08:12,2025-06-22
新地中央广场商务公寓,宝安,77.05,商务公寓,二房,180,--,250990413168乐有家,深圳市乐有家房产交易有限公司,2025-08-08 04:08:47~2025-10-08 04:10:47,2025-06-12
湾上六座花园2栋,宝安,84.06,住宅,二房,560,74200,255969321741九鸿置业,深圳市九鸿置业有限公司,2025-08-12 06:08:35~2025-10-12 06:10:35,2025-06-14
财富港大厦,宝安,59.26,住宅,二房,340,66800,259945481298深圳市佰佰通房地产服务有限公司,深圳市佰佰通房地产服务有限公司,2025-06-01 09:06:15~2025-08-31 09:08:15,2025-06-03
富盈门花园C栋,宝安,81.97,住宅,二房,385,57600,251609636993深圳市福佑地产经纪有限公司,深圳市福佑地产经纪有限公司,2025-08-09 04:08:56~2025-10-09 04:10:56,2025-06-10
新华苑二期2号楼,宝安,66.8,住宅,二房,358,52600,258861407295乐有家,深圳市乐有家房产交易有限公司,2025-08-05 10:08:48~2025-10-05 10:10:48,2025-06-05
白金时代公寓1栋,宝安,32.29,住宅,二房,215,83000,256804654550弘雅地产,深圳弘雅房地产经纪有限责任公司,2025-06-21 02:06:35~2025-08-21 02:08:35,2025-06-07
福安大厦一栋,宝安,72.63,住宅,二房,280,37500,256714363960深圳市信优房地产有限公司,深圳市信优房地产有限公司,2025-06-27 11:06:48~2025-08-27 11:08:48,2025-06-27
华苑商住楼,宝安,49.18,住宅,二房,238,59200,252962462369乐有家,深圳市乐有家房产交易有限公司,2025-07-25 12:07:49~2025-09-24 12:09:49,2025-05-29
新安湖花园（新望阁新海阁）,宝安,81.72,住宅,二房,499,62000,250196622396乐有家,深圳市乐有家房产交易有限公司,2025-08-08 10:08:30~2025-10-08 10:10:30,2025-06-10
嘉洲商务中心（A007-0559）3栋商务公寓,宝安,58,商务公寓,二房,270,--,258673898311链家,深圳链家房地产经纪有限公司,2025-07-24 02:07:39~2025-09-23 02:09:39,2025-05-29
凤凰雅居1栋,宝安,50.33,住宅,二房,290,64700,259941861976乐有家,深圳市乐有家房产交易有限公司,2025-07-08 10:07:27~2025-09-07 10:09:27,2025-05-30
公馆一八六六花园（南区）2栋,宝安,62.04,住宅,二房,470,75500,259250739464乐有家,深圳市乐有家房产交易有限公司,2025-07-23 12:07:55~2025-09-22 12:09:55,2025-05-31
深物业新华城美花园1栋,宝安,80.81,住宅,二房,400,54400,256777985071链家,深圳链家房地产经纪有限公司,2025-07-21 04:07:30~2025-09-20 04:09:30,2025-05-28
翠景居B栋,宝安,60.4,住宅,二房,290,45200,254429456203乐有家,深圳市乐有家房产交易有限公司,2025-06-30 12:06:09~2025-08-30 12:08:09,2025-05-29
滢水山庄一期1栋,宝安,63.11,住宅,二房,245,43500,250013510267乐有家控股,深圳市乐有家控股集团有限公司,2025-07-31 12:07:29~2025-09-30 12:09:29,2025-05-31
锦绣江南Ⅱ栋,宝安,106.8,住宅,二房,528,51400,254546616040乐有家,深圳市乐有家房产交易有限公司,2025-07-30 06:07:41~2025-09-29 06:09:41,2025-05-30
锦绣御园（三期）6栋,宝安,69.87,住宅,二房,380,50700,257667431294昊联地产,深圳市昊联地产有限公司,2025-07-09 02:07:33~2025-09-08 02:09:33,2025-05-28
三十三区商住楼03A栋,宝安,84.8,住宅,二房,280,40900,257379695823链家,深圳链家房地产经纪有限公司,2025-07-27 10:07:27~2025-09-26 10:09:27,2025-06-06
新锦安海纳公馆1栋,宝安,75.93,住宅,二房,880,--,250474348127乐有家,深圳市乐有家房产交易有限公司,2025-08-18 12:08:16~2025-10-18 12:10:16,2025-06-04
