项目名称,区域,建筑面积（㎡）,房屋用途,户型,意向售价(万元),参考价(元/平方米),房源编码,代理中介名称,委托期限,发布时间
七里香榭花园7栋,宝安,74.4,住宅,二房,450,63400,250881040038兴伟房地产,深圳市兴伟房地产经纪有限公司,2025-06-26 02:06:38~2025-08-26 02:08:38,2025-05-13
宝河大厦一栋,宝安,72.8,住宅,二房,450,62400,258754567495乐有家,深圳市乐有家房产交易有限公司,2025-07-15 04:07:21~2025-09-14 04:09:21,2025-05-15
碧海富通城7栋,宝安,53.42,住宅,二房,436,70200,250814565913乐有家,深圳市乐有家房产交易有限公司,2025-07-25 06:07:36~2025-09-24 06:09:36,2025-05-25
香缤广场1栋,宝安,63.9,住宅,二房,380,58400,254650884368安家地产,深圳市安家地产投资顾问有限公司,2025-08-05 11:08:15~2025-10-05 11:10:15,2025-05-22
世外桃源综合楼1栋,宝安,93.05,公寓,二房,350,48000,258422932948乐而居,深圳市乐而居房地产经纪有限公司,2025-06-19 10:06:43~2025-08-19 10:08:43,2025-05-26
书香门第上河坊广场2栋,宝安,59.44,住宅,二房,350,73500,250585740606乐有家,深圳市乐有家房产交易有限公司,2025-08-08 10:08:23~2025-10-08 10:10:23,2025-05-14
丹枫雅苑1栋,宝安,57.25,住宅,二房,320,56300,252625374670乐有家,深圳市乐有家房产交易有限公司,2025-07-16 02:07:31~2025-09-15 02:09:31,2025-05-17
广信花园广隆阁,宝安,73.82,住宅,二房,350,51000,250852771938乐有家,深圳市乐有家房产交易有限公司,2025-07-12 02:07:24~2025-09-11 02:09:24,2025-05-17
桃源盛景园20栋,宝安,65.98,住宅,二房,360,57000,254606985661中原地产,中原地产代理（深圳）有限公司,2025-07-13 02:07:31~2025-09-12 02:09:31,2025-05-13
日出印象花园1栋,宝安,75.64,住宅,二房,388,52100,251919615532深圳市臻玖置业有限公司,深圳市臻玖置业有限公司,2025-07-09 06:07:49~2025-09-08 06:09:49,2025-05-20
日出印象花园B区1栋,宝安,75.6,住宅,二房,355,52100,256854367583乐有家,深圳市乐有家房产交易有限公司,2025-07-15 12:07:59~2025-09-14 12:09:59,2025-05-16
华强城市花园（一期）B区3栋,宝安,69.93,住宅,二房,318,--,251030616989海拓达地产,深圳市海拓达地产有限公司,2025-07-15 10:07:56~2025-09-14 10:09:56,2025-05-15
华业玫瑰四季馨园一期2栋,宝安,45.96,住宅,二房,360,73800,253586035179乐有家,深圳市乐有家房产交易有限公司,2025-06-29 12:06:41~2025-08-29 12:08:41,2025-05-15
宝安海滨广场(三期)1栋,宝安,69.64,住宅,二房,485,75000,253813519213链家,深圳链家房地产经纪有限公司,2025-07-11 12:07:33~2025-09-10 12:09:33,2025-05-15
丽景城2栋,宝安,71.54,住宅,二房,380,62100,258817611489幸福家园,深圳市幸福家园房地产信息咨询有限公司,2025-06-24 06:06:56~2025-08-24 06:08:56,2025-05-13
招商澜园12#,宝安,80.94,住宅,二房,300,47800,258410293032乐有家,深圳市乐有家房产交易有限公司,2025-07-02 04:07:28~2025-09-01 04:09:28,2025-05-20
香缤广场1栋,宝安,68.66,住宅,二房,420,58400,258773893528新耀地产,深圳市新耀房地产置业顾问有限公司,2025-07-15 03:07:38~2025-09-14 03:09:38,2025-05-17
阳光新境园2栋,宝安,79.65,住宅,二房,405,55500,250558342939链家,深圳链家房地产经纪有限公司,2025-07-17 10:07:51~2025-09-16 10:09:51,2025-05-17
领航城领翔华府B区7号A单元,宝安,75.11,住宅,二房,405,61000,252373394321诚鑫房地产,深圳市诚鑫房地产经纪有限公司,2025-07-18 08:07:57~2025-09-17 08:09:57,2025-05-19
富通*好旺角C栋,宝安,35.57,住宅,二房,350,80000,254250590211链家,深圳链家房地产经纪有限公司,2025-07-14 04:07:04~2025-09-13 04:09:04,2025-05-15
潜龙*鑫茂花园A区6栋,宝安,70.12,住宅,二房,400,61300,250821129079乐有家控股,深圳市乐有家控股集团有限公司,2025-07-14 04:07:41~2025-09-13 04:09:41,2025-05-15
雅涛花园B栋,宝安,66.8,住宅,二房,308,51600,251383888289锦亿置业,深圳市锦亿置业有限公司,2025-06-29 06:06:30~2025-08-29 06:08:30,2025-05-19
财富港大厦,宝安,62.45,住宅,二房,365,66800,254188869559链家,深圳链家房地产经纪有限公司,2025-07-13 10:07:46~2025-09-12 10:09:46,2025-05-13
潜龙*鑫茂花园A区6栋,宝安,56.19,住宅,二房,400,61300,257342292189乐有家,深圳市乐有家房产交易有限公司,2025-07-17 06:07:57~2025-09-16 06:09:57,2025-05-17
世纪春城四期2#楼,宝安,75.12,住宅,二房,380,57000,255709187548乐有家,深圳市乐有家房产交易有限公司,2025-07-18 10:07:46~2025-09-17 10:09:46,2025-05-18
佳华名苑1栋,宝安,58.75,住宅,二房,470,78600,254088867192乐有家,深圳市乐有家房产交易有限公司,2025-07-11 12:07:16~2025-09-10 12:09:16,2025-05-16
泰华*俊庭(1栋),宝安,61.9,住宅,二房,350,71000,254669962115乐有家,深圳市乐有家房产交易有限公司,2025-07-15 07:07:10~2025-09-14 07:09:10,2025-05-17
书香门第上河坊广场2栋,宝安,51.05,住宅,二房,300,73500,259230056680乐有家,深圳市乐有家房产交易有限公司,2025-07-18 08:07:57~2025-09-17 08:09:57,2025-05-18
宝安海滨广场(三期)1栋,宝安,69.65,住宅,二房,460,75000,255135033578中原地产,中原地产代理（深圳）有限公司,2025-07-02 10:07:38~2025-09-01 10:09:38,2025-05-13
西海岸花园海逸阁,宝安,81.89,住宅,二房,450,57000,257491035023中原地产,中原地产代理（深圳）有限公司,2025-06-29 06:06:32~2025-08-29 06:08:32,2025-05-14
富佳苑1栋,宝安,72.4,住宅,二房,338,56800,254564826718链家,深圳链家房地产经纪有限公司,2025-07-09 06:07:22~2025-09-08 06:09:22,2025-05-15
潜龙*鑫茂花园A区6栋,宝安,56.19,住宅,二房,310,61300,252000910979恒合达,深圳市恒合达房地产经纪有限公司,2025-07-13 04:07:33~2025-09-12 04:09:33,2025-05-14
金地梅陇镇花园18栋,宝安,73.96,住宅,二房,370,58900,257196743868乐有家,深圳市乐有家房产交易有限公司,2025-07-20 05:07:33~2025-09-19 05:09:33,2025-05-21
公馆一八六六花园（南区）2栋,宝安,42.65,住宅,二房,350,75500,254906425535乐有家,深圳市乐有家房产交易有限公司,2025-05-19 06:05:56~2025-08-19 06:08:56,2025-05-19
皓月花园6栋,宝安,65.68,住宅,二房,360,53400,250793738245链家,深圳链家房地产经纪有限公司,2025-07-11 10:07:27~2025-09-10 10:09:27,2025-05-13
桃源居12区13栋,宝安,81.97,住宅,二房,350,48000,255453886186中原地产,中原地产代理（深圳）有限公司,2025-07-16 12:07:44~2025-09-15 12:09:44,2025-05-16
海滨花园二栋,宝安,75.5,住宅,二房,340,48200,257408238656链家,深圳链家房地产经纪有限公司,2025-07-03 08:07:39~2025-09-02 08:09:39,2025-05-04
悠山美地家园2栋,宝安,81.05,住宅,二房,348,52200,250505208612链家,深圳链家房地产经纪有限公司,2025-07-02 06:07:33~2025-09-01 06:09:33,2025-05-04
招商澜园10#,宝安,63.26,住宅,二房,320,47800,259927475298乐有家,深圳市乐有家房产交易有限公司,2025-07-03 10:07:40~2025-09-02 10:09:40,2025-05-04
桃源盛景园28栋,宝安,69.33,住宅,二房,390,57000,256227834710中原地产,中原地产代理（深圳）有限公司,2025-06-30 06:06:40~2025-08-30 06:08:40,2025-05-06
海滨城广场8栋,宝安,79,住宅,二房,400,52500,252150758461鑫联地产,深圳市鑫联地产有限公司,2025-06-30 06:06:28~2025-08-30 06:08:28,2025-05-03
潜龙*鑫茂花园A区4栋,宝安,69.12,住宅,二房,358,61300,256655500796恒合达,深圳市恒合达房地产经纪有限公司,2025-07-02 04:07:29~2025-09-01 04:09:29,2025-05-10
白金时代公寓1栋,宝安,43.26,住宅,二房,365,83000,255804701094弘雅地产,深圳弘雅房地产经纪有限责任公司,2025-06-25 11:06:02~2025-08-25 11:08:02,2025-04-29
碧海富通城5栋,宝安,57.82,住宅,二房,399,70200,255253611379链家,深圳链家房地产经纪有限公司,2025-06-26 06:06:45~2025-08-26 06:08:45,2025-04-26
七里香榭花园8栋,宝安,73.64,住宅,二房,415,63400,259719032063深圳市天发置业有限公司,深圳市天发置业有限公司,2025-08-18 06:08:31~2025-10-18 06:10:31,2025-05-11
华业玫瑰四季馨园一期1栋,宝安,67.79,住宅,二房,480,73800,255280342428万微房地产,深圳市万微房地产投资顾问有限公司,2025-06-23 12:06:21~2025-08-23 12:08:21,2025-05-07
天欣花园（三期）B栋,宝安,82.48,住宅,二房,320,48700,253641223750星房网络科技,深圳市星房网络科技有限公司,2025-06-30 06:06:37~2025-08-30 06:08:37,2025-05-06
七里香榭花园8栋,宝安,74.36,住宅,二房,418,63400,255288622885深圳市天发置业有限公司,深圳市天发置业有限公司,2025-07-03 04:07:28~2025-09-02 04:09:28,2025-05-04
兴达华府1栋,宝安,62.12,住宅,二房,330,60000,255266082983乐有家,深圳市乐有家房产交易有限公司,2025-07-03 04:07:50~2025-09-02 04:09:50,2025-05-09
富盈门花园B栋,宝安,75.51,住宅,二房,350,57600,254299247150深圳市福佑地产经纪有限公司,深圳市福佑地产经纪有限公司,2025-07-05 10:07:31~2025-09-04 10:09:31,2025-05-07
中航格澜花园12栋,宝安,73.65,住宅,二房,318,45200,250286286920乐有家,深圳市乐有家房产交易有限公司,2025-07-04 10:07:26~2025-09-03 10:09:26,2025-05-05
七里香榭花园7栋,宝安,73.97,住宅,二房,470,63400,256745957068贝壳找房富房金亨利店,深圳恒隆房地产经纪有限公司,2025-06-27 12:06:40~2025-08-27 12:08:40,2025-05-03
弘雅花园(四期)雅兰亭2号楼,宝安,58.3,住宅,二房,370,58000,257677851176链家,深圳链家房地产经纪有限公司,2025-08-04 04:08:29~2025-10-04 04:10:29,2025-05-04
世外桃源3栋,宝安,82.64,住宅,二房,350,48000,258870160658乐有家,深圳市乐有家房产交易有限公司,2025-06-29 06:06:42~2025-08-29 06:08:42,2025-04-29
桃源居13区2栋,宝安,82.22,住宅,二房,400,49000,255931664967恒聚财富,深圳市恒聚信息咨询科技有限公司,2025-07-08 04:07:55~2025-09-07 04:09:55,2025-05-23
云晓公馆,宝安,89.84,住宅,二房,390,--,254544903274安家房地产,深圳市安家房地产投资顾问有限公司,2025-07-01 06:07:52~2025-08-31 06:08:52,2025-05-09
西城雅筑花苑,宝安,63.71,住宅,二房,500,88400,250785859543中原地产,中原地产代理（深圳）有限公司,2025-07-24 02:07:21~2025-09-23 02:09:21,2025-05-09
潜龙花园三栋,宝安,69.12,住宅,二房,320,51200,256961473041乐有家控股,深圳市乐有家控股集团有限公司,2025-07-06 06:07:40~2025-09-05 06:09:40,2025-05-09
福侨花园7栋,宝安,75.3,住宅,二房,315,47000,252471821391海拓达地产,深圳市海拓达地产有限公司,2025-07-01 08:07:41~2025-08-31 08:08:41,2025-05-01
花乡家园,宝安,52.79,住宅,二房,450,88400,251670827976链家,深圳链家房地产经纪有限公司,2025-07-01 06:07:33~2025-08-31 06:08:33,2025-05-09
幸福港湾尚品居,宝安,63.91,住宅,二房,460,73500,250747106162乐有家,深圳市乐有家房产交易有限公司,2025-07-21 10:07:25~2025-09-20 10:09:25,2025-05-15
富源商贸大厦1栋,宝安,93,住宅,二房,458,42100,251708872809中原地产,中原地产代理（深圳）有限公司,2025-08-02 10:08:41~2025-10-02 10:10:41,2025-05-10
潜龙曼海宁花园（南区）5、6、7栋,宝安,67.99,住宅,二房,420,71400,253589611901乐有家,深圳市乐有家房产交易有限公司,2025-07-03 11:07:03~2025-09-02 11:09:03,2025-05-05
桃源盛世园8#楼,宝安,84.45,住宅,二房,438,55000,250110689245乐有家,深圳市乐有家房产交易有限公司,2025-07-05 12:07:33~2025-09-04 12:09:33,2025-05-05
宝安海滨广场(三期)1栋,宝安,71.34,住宅,二房,420,75000,256202817066乐有家,深圳市乐有家房产交易有限公司,2025-06-20 10:06:35~2025-08-20 10:08:35,2025-04-26
瑞尚居3栋,宝安,86.37,住宅,二房,380,--,254452834266乐有家,深圳市乐有家房产交易有限公司,2025-08-03 06:08:33~2025-10-03 06:10:33,2025-04-27
潜龙曼海宁花园（北区）3栋,宝安,70.84,住宅,二房,410,73000,259777740606乐有家,深圳市乐有家房产交易有限公司,2025-06-29 12:06:57~2025-08-29 12:08:57,2025-05-01
大益广场2栋,宝安,82.78,住宅,二房,499,51600,253647800956中原地产,中原地产代理（深圳）有限公司,2025-07-07 06:07:41~2025-09-06 06:09:41,2025-04-27
锦绣江南Ⅰ栋,宝安,79.56,住宅,二房,395,51400,253617420992链家,深圳链家房地产经纪有限公司,2025-07-21 02:07:58~2025-09-20 02:09:58,2025-05-01
金地上塘道花园3栋,宝安,63.17,住宅,二房,385,66600,257444044578家昕地产,深圳市家昕房地产经纪有限公司,2025-07-01 07:07:32~2025-08-31 07:08:32,2025-05-02
锦绣江南A2栋,宝安,77.89,住宅,二房,335,48000,252718591224天佑地产,深圳天佑房地产经纪有限公司,2025-07-31 06:07:23~2025-09-30 06:09:23,2025-05-02
星航华府一期,宝安,79.85,住宅,二房,320,52400,254255499724乐有家,深圳市乐有家房产交易有限公司,2025-07-20 12:07:24~2025-09-19 12:09:24,2025-04-27
海韵花园A1栋,宝安,75.59,住宅,二房,340,55300,254551844670乐有家,深圳市乐有家房产交易有限公司,2025-06-27 04:06:46~2025-08-27 04:08:46,2025-04-27
皓月花园14栋,宝安,65.68,住宅,二房,318,53400,252533823940乐有家,深圳市乐有家房产交易有限公司,2025-06-30 02:06:51~2025-08-30 02:08:51,2025-05-01
中商花园B栋,宝安,75.63,住宅,二房,490,60500,251495826102乐有家,深圳市乐有家房产交易有限公司,2025-06-28 12:06:31~2025-08-28 12:08:31,2025-04-30
福中福花园6栋,宝安,73.51,住宅,二房,360,58300,251254494475中原地产,中原地产代理（深圳）有限公司,2025-06-29 12:06:45~2025-08-29 12:08:45,2025-05-01
花乡家园,宝安,46.73,住宅,二房,400,88400,258140891916乐有家,深圳市乐有家房产交易有限公司,2025-06-27 12:06:35~2025-08-27 12:08:35,2025-05-03
白金酒店公寓1栋,宝安,34.63,住宅,二房,325,78200,252149064977链家,深圳链家房地产经纪有限公司,2025-06-29 04:06:36~2025-08-29 04:08:36,2025-05-03
桦润馨居一期B区B6栋,宝安,76.23,住宅,二房,365,42500,251592971523宏森房地产,深圳市宏森房地产代理有限公司,2025-06-27 09:06:29~2025-08-27 09:08:29,2025-05-01
桃源居14区11栋,宝安,81.51,住宅,二房,330,50000,259091512095中原地产,中原地产代理（深圳）有限公司,2025-06-26 08:06:29~2025-08-26 08:08:29,2025-04-29
潜龙花园惠宁阁,宝安,85.05,住宅,二房,410,51200,255467801260乐有家,深圳市乐有家房产交易有限公司,2025-07-29 10:07:35~2025-09-28 10:09:35,2025-05-01
君逸世家花园1栋,宝安,46.65,住宅,二房,380,85800,258409933248链家,深圳链家房地产经纪有限公司,2025-07-28 10:07:50~2025-09-27 10:09:50,2025-04-30
广信花园广祺阁,宝安,75.98,住宅,二房,340,51000,255796620727中原地产,中原地产代理（深圳）有限公司,2025-08-14 04:08:16~2025-10-14 04:10:16,2025-04-30
佳华名苑1栋,宝安,61.73,住宅,二房,450,78600,251801359682乐有家,深圳市乐有家房产交易有限公司,2025-07-14 10:07:12~2025-09-13 10:09:12,2025-04-30
阳光新境园1栋,宝安,83.7,住宅,二房,418,55500,257806192614乐有家,深圳市乐有家房产交易有限公司,2025-06-29 02:06:30~2025-08-29 02:08:30,2025-05-02
招商果岭花园7栋,宝安,76.53,住宅,二房,430,64700,251082474076知恩地产,深圳知恩房地产经纪有限公司,2025-07-01 06:07:49~2025-08-31 06:08:49,2025-05-02
大益广场1栋,宝安,68.01,住宅,二房,315,51600,255348032060链家,深圳链家房地产经纪有限公司,2025-07-01 08:07:33~2025-08-31 08:08:33,2025-05-03
碧海富通城15栋,宝安,59.99,住宅,二房,470,70200,255516047599链家,深圳链家房地产经纪有限公司,2025-06-27 04:06:56~2025-08-27 04:08:56,2025-04-29
华强城市花园（一期）A区2栋,宝安,69.01,住宅,二房,325,--,257737756008中原地产,中原地产代理（深圳）有限公司,2025-07-24 02:07:27~2025-09-23 02:09:27,2025-04-26
优品建筑6栋,宝安,81.68,住宅,二房,330,46600,259208368850乐有家,深圳市乐有家房产交易有限公司,2025-06-26 08:06:35~2025-08-26 08:08:35,2025-04-29
潜龙花园惠宁阁,宝安,79.91,住宅,二房,360,51200,252420331569乐有家,深圳市乐有家房产交易有限公司,2025-07-25 10:07:24~2025-09-24 10:09:24,2025-04-26
富通天骏花园C栋,宝安,76.41,住宅,二房,370,49400,251529268210乐有家,深圳市乐有家房产交易有限公司,2025-06-26 10:06:36~2025-08-26 10:08:36,2025-04-27
桃源盛世园1#-6#楼,宝安,79.79,住宅,二房,430,55000,255632334356乐而居,深圳市乐而居房地产经纪有限公司,2025-08-10 10:08:47~2025-10-10 10:10:47,2025-04-28
佳华书苑雅阁1栋,宝安,43.23,住宅,二房,430,100300,254897189031乐有家,深圳市乐有家房产交易有限公司,2025-06-27 06:06:59~2025-08-27 06:08:59,2025-04-29
大益广场1栋,宝安,62.29,住宅,二房,350,51600,256543591287乐有家,深圳市乐有家房产交易有限公司,2025-06-28 12:06:30~2025-08-28 12:08:30,2025-04-30
康达尔山海上园（二期）2栋,宝安,64.48,住宅,二房,450,64700,254425090371中原地产,中原地产代理（深圳）有限公司,2025-08-17 12:08:31~2025-10-17 12:10:31,2025-05-08
可乐园A栋,宝安,80.6,住宅,二房,380,52500,259745732211深圳市德佳实业管理有限公司,深圳市德佳实业管理有限公司,2025-07-04 04:07:40~2025-09-03 04:09:40,2025-05-04
湾美花园9#楼,宝安,54.09,住宅,二房,450,85000,259673842829乐有家,深圳市乐有家房产交易有限公司,2025-07-08 02:07:59~2025-09-07 02:09:59,2025-05-09
佳华名苑1栋,宝安,61.66,住宅,二房,468,78600,252788629804乐有家,深圳市乐有家房产交易有限公司,2025-06-19 04:06:24~2025-08-19 04:08:24,2025-05-11
七里香榭花园8栋,宝安,74.34,住宅,二房,450,63400,251524969583深圳市天发置业有限公司,深圳市天发置业有限公司,2025-07-06 02:07:32~2025-09-05 02:09:32,2025-05-08
天骄世家1栋,宝安,76.87,住宅,二房,390,60200,251595312040乐有家,深圳市乐有家房产交易有限公司,2025-07-10 10:07:08~2025-09-09 10:09:08,2025-05-11
宝海花园二栋,宝安,86.1,住宅,二房,410,52200,252035331897乐有家,深圳市乐有家房产交易有限公司,2025-07-07 02:07:06~2025-09-06 02:09:06,2025-05-11
广信花园广隆阁,宝安,73.82,住宅,二房,335,51000,253046820129链家,深圳链家房地产经纪有限公司,2025-06-24 03:06:55~2025-08-24 03:08:55,2025-05-10
翠景居A1栋,宝安,84.83,住宅,二房,330,45200,258622299207乐有家,深圳市乐有家房产交易有限公司,2025-07-09 06:07:27~2025-09-08 06:09:27,2025-05-12
世纪春城四期2#楼,宝安,73.31,住宅,二房,370,57000,258745548566乐有家,深圳市乐有家房产交易有限公司,2025-07-11 02:07:47~2025-09-10 02:09:47,2025-05-11
富通天骏花园C栋,宝安,70.82,住宅,二房,345,49400,251918466887乐有家,深圳市乐有家房产交易有限公司,2025-07-06 12:07:26~2025-09-05 12:09:26,2025-05-06
潜龙曼海宁花园（北区）4栋,宝安,71.9,住宅,二房,430,73000,257366533007乐有家,深圳市乐有家房产交易有限公司,2025-07-10 10:07:08~2025-09-09 10:09:08,2025-05-10
福中福花园2栋,宝安,63.69,住宅,二房,330,58300,259017720397链家,深圳链家房地产经纪有限公司,2025-08-06 08:08:25~2025-10-06 08:10:25,2025-05-12
佳华名苑1栋,宝安,61.73,住宅,二房,459,78600,255056657824中原地产,中原地产代理（深圳）有限公司,2025-07-23 08:07:23~2025-09-22 08:09:23,2025-04-29
世纪春城四期2#楼,宝安,65.23,住宅,二房,398,57000,256312200587链家,深圳链家房地产经纪有限公司,2025-07-01 02:07:37~2025-08-31 02:08:37,2025-05-16
金港华庭1栋,宝安,63.99,住宅,二房,340,63300,252928663730中原地产,中原地产代理（深圳）有限公司,2025-07-02 11:07:05~2025-09-01 11:09:05,2025-05-13
华盛新沙荟名庭（三期）,宝安,68.49,住宅,二房,350,49000,251106729801中原地产,中原地产代理（深圳）有限公司,2025-07-10 06:07:29~2025-09-09 06:09:29,2025-05-12
东华明珠园2栋,宝安,77.51,住宅,二房,380,56300,256798395252乐有家,深圳市乐有家房产交易有限公司,2025-07-07 10:07:48~2025-09-06 10:09:48,2025-05-07
金地梅陇镇花园19栋,宝安,79.11,住宅,二房,380,56200,250494544864乐有家,深圳市乐有家房产交易有限公司,2025-06-23 04:06:49~2025-08-23 04:08:49,2025-05-01
福中福商业城（二期）D3栋,宝安,74.08,住宅,二房,328,54800,258042439245景瑞,深圳市景瑞房地产置业顾问有限公司,2025-06-30 02:06:28~2025-08-30 02:08:28,2025-05-01
潜龙*鑫茂花园A区5栋,宝安,69.32,住宅,二房,450,61300,259774886746乐有家,深圳市乐有家房产交易有限公司,2025-06-26 12:06:34~2025-08-26 12:08:34,2025-05-01
富盈门花园D栋,宝安,71.99,住宅,二房,375,57600,250178931015乐有家,深圳市乐有家房产交易有限公司,2025-06-27 06:06:58~2025-08-27 06:08:58,2025-04-27
嘉华花园东区(2)A栋,宝安,69.33,住宅,二房,316,52000,252317384592乐有家,深圳市乐有家房产交易有限公司,2025-06-29 10:06:56~2025-08-29 10:08:56,2025-05-09
幸福港湾尚品居,宝安,64.57,住宅,二房,400,73500,256614021730深圳市连横房地产经纪有限公司,深圳市连横房地产经纪有限公司,2025-07-07 10:07:32~2025-09-06 10:09:32,2025-05-16
幸福港湾尚品居,宝安,64.25,住宅,二房,380,73500,259549116333链家,深圳链家房地产经纪有限公司,2025-07-10 10:07:46~2025-09-09 10:09:46,2025-05-13
泰华*俊庭(1栋),宝安,61.9,住宅,二房,350,71000,257430581029链家,深圳链家房地产经纪有限公司,2025-07-08 12:07:11~2025-09-07 12:09:11,2025-05-09
桃源盛景园2栋,宝安,81.52,住宅,二房,420,50000,250189379015中原地产,中原地产代理（深圳）有限公司,2025-08-05 12:08:21~2025-10-05 12:10:21,2025-05-11
富源商贸大厦1栋,宝安,92,住宅,二房,430,42100,250071984803链家,深圳链家房地产经纪有限公司,2025-07-06 12:07:35~2025-09-05 12:09:35,2025-05-09
海湾明珠花园一期3栋,宝安,67.15,住宅,二房,375,54000,254034859543乐有家,深圳市乐有家房产交易有限公司,2025-07-08 08:07:28~2025-09-07 08:09:28,2025-05-11
富通天骏花园A栋,宝安,77.06,住宅,二房,335,49400,251929908310深圳市宏帆房地产经纪有限公司,深圳市宏帆房地产经纪有限公司,2025-07-24 10:07:32~2025-09-23 10:09:32,2025-05-08
星航华府四期,宝安,75.37,住宅,二房,350,52400,252132799755宏企地产,深圳市宏企地产经纪有限公司,2025-06-28 12:06:54~2025-08-28 12:08:54,2025-05-13
西乡安居家园3栋,宝安,76.13,住宅,二房,380,--,259084990319链家,深圳链家房地产经纪有限公司,2025-07-05 06:07:48~2025-09-04 06:09:48,2025-05-08
西城雅筑花苑,宝安,49.51,住宅,二房,418,88400,255499840603链家,深圳链家房地产经纪有限公司,2025-07-01 10:07:25~2025-08-31 10:08:25,2025-05-13
金地上塘道花园7栋,宝安,66.97,住宅,二房,365,66600,253990763181链家,深圳链家房地产经纪有限公司,2025-08-16 08:08:56~2025-10-16 08:10:56,2025-05-05
香格丽湾园4栋,宝安,59.47,住宅,二房,348,65000,258203317118新四海,新四海（深圳）房地产经纪有限责任公司,2025-06-25 08:06:25~2025-08-25 08:08:25,2025-05-02
雍和园1栋,宝安,51.26,住宅,二房,350,72300,251855250661链家,深圳链家房地产经纪有限公司,2025-08-13 02:08:24~2025-10-13 02:10:24,2025-05-13
桃源盛景园23栋,宝安,82.86,住宅,二房,420,57000,255168916664中原地产,中原地产代理（深圳）有限公司,2025-07-24 02:07:23~2025-09-23 02:09:23,2025-05-06
新安湖花园新碧阁,宝安,73.88,住宅,二房,450,62000,250165700492链家,深圳链家房地产经纪有限公司,2025-06-30 12:06:07~2025-08-30 12:08:07,2025-05-07
魅力时代花园2栋,宝安,74.75,住宅,二房,480,74800,253602439061爱住家优居,深圳市爱住家优居房地产有限公司,2025-06-29 08:06:10~2025-08-29 08:08:10,2025-04-30
白金时代公寓1栋,宝安,43.9,住宅,二房,315,83000,259411084321链家,深圳链家房地产经纪有限公司,2025-07-04 10:07:39~2025-09-03 10:09:39,2025-05-10
绿海名居1号楼,宝安,75.31,住宅,二房,450,66800,251706294597乐有家,深圳市乐有家房产交易有限公司,2025-07-12 12:07:32~2025-09-11 12:09:32,2025-05-12
锦绣江南Ⅱ栋,宝安,78.21,住宅,二房,430,51400,255700122842乐有家控股,深圳市乐有家控股集团有限公司,2025-06-27 08:06:43~2025-08-27 08:08:43,2025-05-09
星河盛世花园(一期)1栋,宝安,77.41,住宅,二房,475,72000,256888721462恒合达,深圳市恒合达房地产经纪有限公司,2025-06-30 06:06:38~2025-08-30 06:08:38,2025-05-04
金碧世家5栋,宝安,77.25,住宅,二房,360,46700,252824585794乐有家,深圳市乐有家房产交易有限公司,2025-06-23 12:06:12~2025-08-23 12:08:12,2025-04-30
财富港大厦,宝安,61.6,住宅,二房,300,66800,252955664462乐有家控股,深圳市乐有家控股集团有限公司,2025-08-18 06:08:31~2025-10-18 06:10:31,2025-05-11
桃源盛景园2栋,宝安,81.52,住宅,二房,395,50000,254192871463中原地产,中原地产代理（深圳）有限公司,2025-07-08 02:07:27~2025-09-07 02:09:27,2025-04-28
潜龙花园八栋,宝安,79.13,住宅,二房,310,51200,253069010266乐有家控股,深圳市乐有家控股集团有限公司,2025-06-21 04:06:24~2025-08-21 04:08:24,2025-05-04
桃源居14区1栋,宝安,79.13,住宅,二房,340,50000,259378204428乐有家,深圳市乐有家房产交易有限公司,2025-07-10 04:07:14~2025-09-09 04:09:14,2025-05-11
灵芝新村四十二栋A座,宝安,70.1,住宅,二房,386,70100,252329645045乐有家,深圳市乐有家房产交易有限公司,2025-06-21 10:06:02~2025-08-21 10:08:02,2025-05-09
德邻雅筑苑1栋,宝安,78.61,住宅,二房,465,62100,257358948834宝乐地产,深圳市宝乐房地产有限公司,2025-07-17 12:07:32~2025-09-16 12:09:32,2025-05-17
富民苑1栋,宝安,72.27,住宅,二房,300,42700,254782237274乐有家,深圳市乐有家房产交易有限公司,2025-06-28 08:06:27~2025-08-28 08:08:27,2025-04-29
宝和苑,宝安,59.56,住宅,二房,380,--,256821374567乐有家,深圳市乐有家房产交易有限公司,2025-07-05 06:07:34~2025-09-04 06:09:34,2025-05-10
骏景华庭D栋,宝安,67.71,住宅,二房,400,54300,251066712411乐有家,深圳市乐有家房产交易有限公司,2025-07-11 10:07:03~2025-09-10 10:09:03,2025-05-12
湾上六座花园7栋,宝安,69.13,住宅,二房,460,74200,253255592421链家,深圳链家房地产经纪有限公司,2025-07-23 08:07:23~2025-09-22 08:09:23,2025-05-11
宏发领域花园4栋,宝安,49.08,住宅,二房,380,82400,252792969638乐有家,深圳市乐有家房产交易有限公司,2025-06-28 08:06:02~2025-08-28 08:08:02,2025-05-19
桃源盛景园19栋,宝安,69.36,住宅,二房,360,57000,254753081456链家,深圳链家房地产经纪有限公司,2025-07-09 12:07:23~2025-09-08 12:09:23,2025-05-13
广信花园广祺阁,宝安,76.52,住宅,二房,335,51000,254347198676乐有家,深圳市乐有家房产交易有限公司,2025-07-10 06:07:55~2025-09-09 06:09:55,2025-05-11
金地梅陇镇花园17栋,宝安,80.12,住宅,二房,480,58900,256395226794链家,深圳链家房地产经纪有限公司,2025-06-22 08:06:18~2025-08-22 08:08:18,2025-04-30
